Year, DayOfYear, WeekOfYear, DateTime, distanceMeters, totalTimeSeconds
2022,35,5,2022-02-04T09:39,4850,2084
2020,99,15,2020-04-08T08:52,11295,4620
2020,253,37,2020-09-09T06:52,1614,550
2022,152,22,2022-06-01T08:18,3368,1509
2022,310,45,2022-11-06T17:52,1000,469
2018,151,22,2018-05-31T18:34,407,2809
2018,242,35,2018-08-30T05:46,6438,2250
2018,74,11,2018-03-15T09:42,104,27
2022,40,6,2022-02-09T17:59,4349,1957
2020,234,34,2020-08-21T06:39,1610,630
2022,41,6,2022-02-10T17:48,7017,2962
2018,117,17,2018-04-27T08:51,870,602
2018,194,28,2018-07-13T07:02,1263,1030
2020,96,14,2020-04-05T06:56,19367,7085
2018,39,6,2018-02-08T18:11,6867,3226
2020,344,50,2020-12-09T18:06,143,104
2021,327,47,2021-11-23T14:01,6470,2388
2023,3,1,2023-01-03T08:23,8072,3019
2022,67,10,2022-03-08T17:48,8202,2851
2020,119,17,2020-04-28T06:43,10212,3576
2020,138,20,2020-05-17T06:24,21256,7583
2018,201,29,2018-07-20T06:31,5122,1876
2021,7,1,2021-01-07T09:14,1613,591
2023,45,7,2023-02-14T15:49,8735,3796
2018,196,28,2018-07-15T06:44,6463,2307
2020,321,46,2020-11-16T07:13,1609,625
2021,355,51,2021-12-21T16:59,6744,2685
2022,131,19,2022-05-11T15:14,9833,4448
2020,337,49,2020-12-02T18:38,1609,687
2021,79,12,2021-03-20T11:12,9738,3722
2022,254,37,2022-09-11T15:29,3446,1636
2018,115,17,2018-04-25T19:02,10567,3970
2020,127,19,2020-05-06T07:41,1608,594
2021,153,22,2021-06-02T08:14,3061,1201
2020,197,29,2020-07-15T17:10,7815,3513
2020,188,27,2020-07-06T06:39,9742,3595
2022,31,5,2022-01-31T16:10,9667,4112
2020,230,33,2020-08-17T06:32,1610,548
2017,301,43,2017-10-28T09:00,5285,3929
2021,325,47,2021-11-21T14:19,8267,4000
2020,327,47,2020-11-22T07:55,1611,603
2022,256,37,2022-09-13T05:54,8069,3117
2022,239,35,2022-08-27T08:45,5291,2261
2018,40,6,2018-02-09T17:27,8142,3333
2021,211,31,2021-07-30T19:27,1361,500
2023,2,1,2023-01-02T18:58,4304,1908
2022,36,6,2022-02-05T22:31,2844,1499
2018,148,22,2018-05-28T09:32,1518,500
2022,293,42,2022-10-20T06:20,4945,1743
2020,151,22,2020-05-30T07:01,12487,4080
2021,292,42,2021-10-19T18:45,1606,839
2018,66,10,2018-03-07T19:03,9683,3871
2020,114,17,2020-04-23T08:14,6570,2410
2020,189,27,2020-07-07T06:32,9715,3613
2022,248,36,2022-09-05T06:38,5515,2350
2022,333,48,2022-11-29T05:43,8118,3884
2018,93,14,2018-04-03T07:08,10854,3996
2020,191,28,2020-07-09T06:46,9732,3700
2021,317,46,2021-11-13T17:06,5510,2193
2021,330,48,2021-11-26T09:38,6528,2381
2020,187,27,2020-07-05T06:55,16260,7563
2022,254,37,2022-09-11T16:07,1463,676
2018,293,42,2018-10-20T06:22,2008,1174
2022,297,43,2022-10-24T09:59,7509,3324
2018,150,22,2018-05-30T19:27,292,1807
2022,66,10,2022-03-07T17:29,8106,2790
2021,285,41,2021-10-12T17:37,6532,2968
2022,66,10,2022-03-07T17:29,1612,560
2022,117,17,2022-04-27T17:07,9832,4536
2020,46,7,2020-02-15T07:34,6666,2490
2018,75,11,2018-03-16T18:54,9182,5494
2018,299,43,2018-10-26T08:25,6562,2411
2018,65,10,2018-03-06T07:21,7578,2995
2022,111,16,2022-04-21T17:25,9814,4368
2022,55,8,2022-02-24T08:45,8168,2993
2020,215,31,2020-08-02T16:38,1996,646
2021,239,35,2021-08-27T07:30,1614,749
2018,102,15,2018-04-12T18:04,13222,5441
2020,228,33,2020-08-15T06:25,1606,546
2022,44,7,2022-02-13T16:37,6501,2957
2022,124,18,2022-05-04T15:28,11820,5210
2022,73,11,2022-03-14T18:17,8610,3659
2022,353,51,2022-12-19T16:48,9192,3450
2023,6,1,2023-01-06T07:42,7192,2674
2022,71,11,2022-03-12T17:56,8136,3440
2023,46,7,2023-02-15T17:22,6288,5316
2018,85,13,2018-03-26T19:30,4345,1627
2022,301,43,2022-10-28T17:08,8259,4200
2022,189,27,2022-07-08T06:48,9674,3711
2021,108,16,2021-04-18T15:07,5708,3315
2020,308,44,2020-11-03T08:11,1611,573
2020,132,19,2020-05-11T07:33,8795,3194
2018,262,38,2018-09-19T06:34,1323,466
2020,302,44,2020-10-28T07:17,1601,573
2021,223,32,2021-08-11T08:11,2018,982
2020,196,28,2020-07-14T08:34,6587,2830
2018,74,11,2018-03-15T09:45,102,24
2021,139,20,2021-05-19T07:27,1615,619
2022,173,25,2022-06-22T13:28,1719,1367
2022,33,5,2022-02-02T09:50,3244,1400
2020,83,12,2020-03-23T08:36,8109,3001
2022,104,15,2022-04-14T17:02,8500,4719
2022,179,26,2022-06-28T17:18,4828,2275
2020,169,25,2020-06-17T07:08,1610,605
2021,18,3,2021-01-18T17:30,3667,1360
2017,318,46,2017-11-14T09:05,5605,2234
2022,200,29,2022-07-19T21:15,2725,1231
2022,123,18,2022-05-03T17:39,3632,1717
2022,207,30,2022-07-26T06:34,4100,1514
2021,26,4,2021-01-26T08:40,1613,616
2020,159,23,2020-06-07T06:56,12935,5284
2020,296,43,2020-10-22T07:34,1608,582
2023,31,5,2023-01-31T07:23,6140,3149
2022,205,30,2022-07-24T15:29,6903,3056
2018,216,31,2018-08-04T07:22,2433,2120
2022,94,14,2022-04-04T18:00,8680,3734
2022,292,42,2022-10-19T17:18,6492,2297
2022,43,7,2022-02-12T18:04,4892,2301
2018,291,42,2018-10-18T05:44,6087,2384
2018,150,22,2018-05-30T10:48,345,1196
2022,146,21,2022-05-26T09:23,9705,3412
2022,180,26,2022-06-29T16:13,6568,3383
2018,116,17,2018-04-26T09:17,3218,4084
2018,202,29,2018-07-21T07:22,6514,3354
2021,344,50,2021-12-10T16:21,6540,3137
2022,168,24,2022-06-17T14:02,450,550
2022,223,32,2022-08-11T05:49,9703,3483
2018,93,14,2018-04-03T09:04,1000,2647
2021,325,47,2021-11-21T14:19,8267,4000
2022,2,1,2022-01-02T09:34,8075,2878
2018,169,25,2018-06-18T18:32,6317,2324
2022,9,2,2022-01-09T17:49,4162,1915
2021,238,34,2021-08-26T07:35,1613,763
2020,145,21,2020-05-24T06:22,9725,3691
2018,293,42,2018-10-20T06:51,6534,2536
2022,50,8,2022-02-19T18:34,229,148
2022,329,47,2022-11-25T07:58,2703,1449
2022,237,34,2022-08-25T23:54,2412,978
2022,56,8,2022-02-25T08:49,6604,2456
2018,111,16,2018-04-21T06:04,10258,3762
2022,71,11,2022-03-12T17:56,8136,3440
2020,323,47,2020-11-18T08:05,1608,621
2020,59,9,2020-02-28T09:13,5230,1801
2018,188,27,2018-07-07T08:44,671,461
2022,327,47,2022-11-23T08:14,2168,1102
2020,186,27,2020-07-04T09:42,9922,4308
2020,247,36,2020-09-03T06:39,1612,581
2022,104,15,2022-04-14T17:02,8500,4719
2022,284,41,2022-10-11T08:25,6329,3075
2022,310,45,2022-11-06T17:12,4277,2034
2021,205,30,2021-07-24T18:01,1610,602
2020,211,31,2020-07-29T06:19,1608,603
2022,281,41,2022-10-08T07:21,10026,3579
2022,65,10,2022-03-06T17:22,8121,2829
2022,306,44,2022-11-02T17:57,4000,1976
2020,223,32,2020-08-10T06:41,1607,556
2023,36,6,2023-02-05T05:23,2438,900
2018,85,13,2018-03-26T20:46,623,1714
2020,51,8,2020-02-20T06:08,5070,1923
2023,14,2,2023-01-14T17:46,6276,2761
2023,10,2,2023-01-10T07:26,3516,1551
2020,66,10,2020-03-06T07:16,6616,2581
2020,294,42,2020-10-20T20:13,1614,818
2018,70,10,2018-03-11T19:04,10031,4647
2021,328,47,2021-11-24T10:45,6502,2463
2018,195,28,2018-07-14T08:58,1755,645
2021,203,29,2021-07-22T07:52,5609,2392
2020,152,22,2020-05-31T07:49,9687,3688
2021,42,6,2021-02-11T08:30,1609,596
2023,39,6,2023-02-08T07:19,8086,2830
2021,343,49,2021-12-09T05:50,7000,3612
2017,234,34,2017-08-22T09:24,4478,1856
2022,349,50,2022-12-15T18:39,5662,2800
2018,213,31,2018-08-01T05:33,6323,2264
2021,187,27,2021-07-06T17:27,4527,1841
2022,259,37,2022-09-16T06:50,6448,2340
2022,327,47,2022-11-23T08:14,2168,1102
2017,302,44,2017-10-29T16:42,3000,1790
2022,149,22,2022-05-29T11:59,11341,4067
2018,188,27,2018-07-07T08:05,6456,2349
2018,347,50,2018-12-13T05:19,6141,2278
2021,235,34,2021-08-23T17:21,1605,792
2020,245,35,2020-09-01T06:30,1610,591
2022,253,37,2022-09-10T07:30,5156,1610
2018,90,13,2018-03-31T07:57,12874,4796
2022,114,17,2022-04-24T15:37,9760,4587
2022,142,21,2022-05-22T18:24,3419,1601
2017,329,47,2017-11-25T08:29,6759,3096
2022,243,35,2022-08-31T07:26,6509,2476
2021,318,46,2021-11-14T10:31,9691,3735
2018,100,15,2018-04-10T06:31,9656,4583
2021,303,44,2021-10-30T13:17,4350,1863
2018,94,14,2018-04-04T06:54,16009,7035
2021,351,51,2021-12-17T15:50,5860,3132
2022,252,36,2022-09-09T17:40,2860,1267
2022,246,36,2022-09-03T06:09,12218,4710
2022,360,52,2022-12-26T15:15,619,504
2022,343,49,2022-12-09T12:20,3454,1673
2022,248,36,2022-09-05T06:38,5515,2350
2020,86,13,2020-03-26T08:22,6882,2543
2022,247,36,2022-09-04T06:55,5419,2344
2022,68,10,2022-03-09T07:55,8096,2899
2020,98,14,2020-04-07T07:48,10143,3516
2021,34,5,2021-02-03T17:00,1610,564
2022,46,7,2022-02-15T17:22,2809,4616
2023,60,9,2023-03-01T15:52,6446,2805
2020,193,28,2020-07-11T15:04,5204,2167
2020,121,18,2020-04-30T07:18,6628,2417
2018,168,24,2018-06-17T05:35,1518,1178
